<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
SPFB.RTS,D,20130611,000000,128440.0000000,129460.0000000,124540.0000000,125300.0000000
SPFB.RTS,D,20130613,000000,125200.0000000,126700.0000000,122500.0000000,126550.0000000
SPFB.RTS,D,20130614,000000,126510.0000000,128140.0000000,125300.0000000,126870.0000000
SPFB.RTS,D,20130617,000000,127020.0000000,130790.0000000,127020.0000000,129770.0000000
SPFB.RTS,D,20130618,000000,129780.0000000,131230.0000000,129050.0000000,130480.0000000
SPFB.RTS,D,20130619,000000,130500.0000000,130780.0000000,125440.0000000,125630.0000000
SPFB.RTS,D,20130620,000000,125560.0000000,125560.0000000,121070.0000000,121320.0000000
SPFB.RTS,D,20130621,000000,121320.0000000,126250.0000000,121320.0000000,125020.0000000
SPFB.RTS,D,20130624,000000,124870.0000000,124870.0000000,121370.0000000,123780.0000000
SPFB.RTS,D,20130625,000000,123760.0000000,125320.0000000,122800.0000000,124910.0000000
SPFB.RTS,D,20130626,000000,124810.0000000,126430.0000000,123530.0000000,125190.0000000
SPFB.RTS,D,20130627,000000,125270.0000000,126330.0000000,124510.0000000,125310.0000000
SPFB.RTS,D,20130628,000000,125390.0000000,127380.0000000,124620.0000000,125830.0000000
SPFB.RTS,D,20130701,000000,125790.0000000,127240.0000000,125320.0000000,126420.0000000
SPFB.RTS,D,20130702,000000,126470.0000000,127170.0000000,124180.0000000,124650.0000000
SPFB.RTS,D,20130703,000000,124630.0000000,126550.0000000,124350.0000000,126340.0000000
SPFB.RTS,D,20130704,000000,126340.0000000,127350.0000000,125100.0000000,127220.0000000
SPFB.RTS,D,20130705,000000,127290.0000000,128190.0000000,125600.0000000,126200.0000000
SPFB.RTS,D,20130708,000000,126240.0000000,127190.0000000,125410.0000000,126800.0000000
SPFB.RTS,D,20130709,000000,126800.0000000,128070.0000000,126800.0000000,127580.0000000
SPFB.RTS,D,20130710,000000,127500.0000000,128100.0000000,125720.0000000,126200.0000000
SPFB.RTS,D,20130711,000000,126200.0000000,131780.0000000,126200.0000000,131570.0000000
